sku_id,name,category,description,unit_price,stock
SP-001,Universal Lateral Positioner,Surgical Positioners,"Foam lateral positioner for surgical positioning, adjustable straps, adult size",107.96,168
SP-002,Prone Positioning System,Surgical Positioners,"Full body prone positioner set with chest rolls and head support, radiolucent",244.65,194
SP-003,Beach Chair Shoulder Positioner,Surgical Positioners,"Articulating beach chair positioner for shoulder arthroscopy, 400lb capacity",131.51,62
SP-004,Lithotomy Leg Holder Set,Surgical Positioners,Pair of candy-cane lithotomy leg holders with universal OR table clamps,580.04,31
SP-005,Pediatric Positioner Kit,Surgical Positioners,"Soft foam positioner set for pediatric patients, age 2-12, antimicrobial cover",87.59,144
SP-006,Supine Hip Positioner,Surgical Positioners,Radiolucent hip positioner for supine total hip replacement procedures,41.54,113
SP-007,Neurosurgery Horseshoe Headrest,Surgical Positioners,"Mayfield-compatible horseshoe headrest with gel padding, MRI conditional",197.56,28
SP-008,Spine Positioner Frame,Surgical Positioners,"Wilson frame spine positioner for lumbar procedures, 500lb capacity",517.69,134
SP-009,Kidney Rest Positioner,Surgical Positioners,"Inflatable kidney rest for lateral flank procedures, foot pump included",181.03,148
SP-010,Cardiac Positioning Wedge Set,Surgical Positioners,"Set of 3 foam wedges for cardiac procedures, autoclavable covers",600.61,171
GP-001,Heel Protector Gel Pad,Gel Pads,"Medical-grade silicone gel heel protector, reduces pressure ulcer risk, pair",199.07,112
GP-002,Elbow Gel Pad,Gel Pads,"Antimicrobial gel elbow pad, universal size, washable cover",247.29,155
GP-003,Sacral Gel Pad Large,Gel Pads,"Large sacral relief gel pad 18x16 inch, 2 inch gel depth",648.6,6
GP-004,OR Table Gel Overlay,Gel Pads,"Full OR table gel overlay pad 72x20 inch, 1.5 inch medical gel",597.95,45
GP-005,Wrist Rest Gel Pad,Gel Pads,"Ergonomic gel wrist pad for extended surgical procedures, pair",247.02,92
GP-006,Pediatric Gel Overlay,Gel Pads,"Pediatric gel table pad 48x18 inch, soft gel formulation",814.27,60
GP-007,Shoulder Gel Pad,Gel Pads,"Contoured shoulder gel pad for beach chair positioning, pair",100.35,91
GP-008,Occiput Gel Donut,Gel Pads,"Gel donut headrest for supine procedures, reduces occipital pressure",95.76,102
GP-009,Arm Board Gel Pad,Gel Pads,"Gel pad cover for surgical arm boards, universal fit, set of 2",519.11,93
GP-010,Face Gel Cushion,Gel Pads,"Prone face cushion with gel inserts, multiple apertures for airway access",624.33,16
SR-001,OR Safety Strap 2-inch,Straps & Restraints,"2-inch wide OR table safety strap with quick-release buckle, 10ft length",119.23,142
SR-002,Arm Restraint Strap,Straps & Restraints,"Padded arm restraint strap with velcro closure, pair, adult size",80.8,101
SR-003,Leg Holder Strap Set,Straps & Restraints,Set of 4 leg positioning straps with D-ring attachments,707.55,80
SR-004,Lithotomy Strap,Straps & Restraints,"Padded lithotomy positioning strap, 3-inch wide, pair",754.35,163
SR-005,Chest Restraint Strap,Straps & Restraints,"Diagonal chest safety strap for Trendelenburg positioning, adjustable",497.09,97
SR-006,Pediatric Safety Strap,Straps & Restraints,"Soft pediatric OR safety strap, 1.5 inch, velcro closure",73.08,185
SR-007,Shoulder Positioner Strap,Straps & Restraints,"Non-slip shoulder positioner strap for steep Trendelenburg, pair",205.3,174
SR-008,Universal Table Strap,Straps & Restraints,"Universal OR table strap kit, 5 straps assorted sizes",837.66,79
SR-009,Foam Padded Restraint,Straps & Restraints,"3-inch foam padded arm restraint, hook-and-loop closure, pair",738.51,64
SR-010,Head Holder Strap,Straps & Restraints,Adjustable head and chin strap for neurosurgery positioning,247.11,102
PR-001,Anti-Decubitus Foam Pad,Pressure Relief,"4-inch medical foam OR table pad, egg-crate surface, 72x20 inch",711.48,167
PR-002,Visco-Elastic Overlay,Pressure Relief,"2-inch visco-elastic memory foam OR overlay, fluid-resistant cover",324.1,46
PR-003,Sequential Compression Device,Pressure Relief,"Sequential compression device with bilateral leg sleeves, digital controller",574.6,58
